#Study : ASU&adidas Session 1 - High
#Date : 20170917 21:33:01
#Version : 6.4.8223.4
#TestRunDate : 20170826 14:04:47.708 (-07:00)
#Tracker : Model-Tobii X2 @60Hz, Freq-60Hz, Screen Size(cms)-{Width=33.7, Height=27}, Screen Res-{Width=1920, Height=1200}, Distance(Resp)-70cm 

StudyName	ExportDate	Name	Age	Gender	StimuliBlock	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	Timestamp RAW (no units) (Shimmer Sensor)	Timestamp CAL (mSecs) (Shimmer Sensor)	VSenseBatt RAW (no units) (Shimmer Sensor)	VSenseBatt CAL (mVolts) (Shimmer Sensor)	GSR RAW (no units) (Shimmer Sensor)	GSR CAL (kOhms) (Shimmer Sensor)	GSR CAL (µSiemens) (Shimmer Sensor)	Packet reception rate RAW (no units) (Shimmer Sensor)	GSR Quality (Shimmer Sensor)	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704121				13621283	1412609.375	2749	4003.67179487179	1141	56.9223237969467	17.5678	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704121				13621539	1412617.1875	2735	3983.28205128205	1142	56.8017222282179	17.6051	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704132				13621795	1412625	2748	4002.21538461538	1141	56.9223237969467	17.5678	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704136				13622051	1412632.8125	2740	3990.5641025641	1141	56.9223237969467	17.5678	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704150				13622307	1412640.625	2751	4006.58461538462	1140	57.0434385784775	17.5305	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704161				13622563	1412648.4375	2735	3983.28205128205	1140	57.0434385784775	17.5305	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704161				13622819	1412656.25	2748	4002.21538461538	1140	57.0434385784775	17.5305	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704170				13623075	1412664.0625	2748	4002.21538461538	1140	57.0434385784775	17.5305	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704184				13623331	1412671.875	2749	4003.67179487179	1140	57.0434385784775	17.5305	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704184				13623587	1412679.6875	2735	3983.28205128205	1140	57.0434385784775	17.5305	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704190				13623843	1412687.5	2741	3992.02051282051	1139	57.1650698557154	17.4932	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704206				13624099	1412695.3125	2751	4006.58461538462	1139	57.1650698557154	17.4932	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140704209				13624355	1412703.125	2749	4003.67179487179	1139	57.1650698557154	17.4932	100	VALID						
